name,symbol,price_usd,percent_change_24h,market_cap_usd
Bitcoin,BTC,111449.67132510686,2.17910014,2214317510882.7046
Ethereum,ETH,2661.8670170544324,3.22917954,321358706992.8004
Tether USDt,USDT,1.0001834468692885,-0.01374145,152427420156.57056
XRP,XRP,2.431816552472128,1.12373808,142713603931.1856
BNB,BNB,683.1359634449819,2.84251015,96245880844.58702
Solana,SOL,179.43649137543218,4.16407994,93337301885.84843
USDC,USDC,0.9998556593438455,0.01070034,61081791925.396706
Dogecoin,DOGE,0.24093462776113564,3.1848588,35988592406.39984
Cardano,ADA,0.8051027998199238,4.43640087,28439581182.424114
TRON,TRX,0.2778835491355905,1.97983192,26365903170.58888
Sui,SUI,3.912316157568755,-1.92635994,13060590731.424128
Chainlink,LINK,16.828825202821065,3.97413843,11058220543.528833
Hyperliquid,HYPE,32.40033333477324,16.59935414,10819384341.874157
Avalanche,AVAX,25.272280218295492,8.10750232,10640780140.152496
Stellar,XLM,0.30182347430810047,2.54906174,9374133936.081081
Shiba Inu,SHIB,1.5334147975483167e-05,2.71011374,9035642691.553162
Bitcoin Cash,BCH,436.6640613552168,7.13295612,8677899942.94777
Hedera,HBAR,0.20458753702870705,2.56601585,8641728559.02242
UNUS SED LEO,LEO,8.861156305230185,0.71532473,8182367885.99182
Toncoin,TON,3.171642720121183,2.19700265,7900691822.533987
Polkadot,DOT,4.944512916830387,3.14837851,7812089284.27467
Litecoin,LTC,99.17366221168791,2.35669676,7525489214.466143
Monero,XMR,399.37490034135516,8.89460755,7367166576.060236
Bitget Token,BGB,5.223276297671618,-0.57397609,6111197171.257956
Pepe,PEPE,1.4435842383402047e-05,1.18796728,6073013083.687778
