,date,name,symbol,price_usd,percent_change_24h,market_cap_usd,day
0,5/22/2025,Bitcoin,BTC,111449.6713,2.17910014,2214320000000.0,1
1,5/22/2025,Ethereum,ETH,2661.867017,3.22917954,321359000000.0,1
2,5/22/2025,Tether USDt,USDT,1.000183447,-0.01374145,152427000000.0,1
3,5/22/2025,XRP,XRP,2.431816552,1.12373808,142714000000.0,1
4,5/22/2025,BNB,BNB,683.1359634,2.84251015,96245880845.0,1
5,5/22/2025,Solana,SOL,179.4364914,4.16407994,93337301886.0,1
6,5/22/2025,USDC,USDC,0.999855659,0.01070034,61081791925.0,1
7,5/22/2025,Dogecoin,DOGE,0.240934628,3.1848588,35988592406.0,1
8,5/22/2025,Cardano,ADA,0.8051028,4.43640087,28439581182.0,1
9,5/22/2025,TRON,TRX,0.277883549,1.97983192,26365903171.0,1
10,5/22/2025,Sui,SUI,3.912316158,-1.92635994,13060590731.0,1
11,5/22/2025,Chainlink,LINK,16.8288252,3.97413843,11058220544.0,1
12,5/22/2025,Hyperliquid,HYPE,32.40033333,16.59935414,10819384342.0,1
13,5/22/2025,Avalanche,AVAX,25.27228022,8.10750232,10640780140.0,1
14,5/22/2025,Stellar,XLM,0.301823474,2.54906174,9374133936.0,1
15,5/22/2025,Shiba Inu,SHIB,1.53e-05,2.71011374,9035642692.0,1
16,5/22/2025,Bitcoin Cash,BCH,436.6640614,7.13295612,8677899943.0,1
17,5/22/2025,Hedera,HBAR,0.204587537,2.56601585,8641728559.0,1
18,5/22/2025,UNUS SED LEO,LEO,8.861156305,0.71532473,8182367886.0,1
19,5/22/2025,Toncoin,TON,3.17164272,2.19700265,7900691823.0,1
20,5/22/2025,Polkadot,DOT,4.944512917,3.14837851,7812089284.0,1
21,5/22/2025,Litecoin,LTC,99.17366221,2.35669676,7525489214.0,1
22,5/22/2025,Monero,XMR,399.3749003,8.89460755,7367166576.0,1
23,5/22/2025,Bitget Token,BGB,5.223276298,-0.57397609,6111197171.0,1
24,5/22/2025,Pepe,PEPE,1.44e-05,1.18796728,6073013084.0,1
25,5/23/2025,Bitcoin,BTC,109994.124,-0.64586555,2185440000000.0,2
26,5/23/2025,Ethereum,ETH,2612.25593,-1.44228555,315368000000.0,2
27,5/23/2025,Tether USDt,USDT,0.999981742,0.01328631,152486000000.0,2
28,5/23/2025,XRP,XRP,2.417860797,-0.11795063,141895000000.0,2
29,5/23/2025,BNB,BNB,678.0181137,-1.31992108,95524798036.0,2
30,5/23/2025,Solana,SOL,182.9148856,2.73100219,95145932266.0,2
31,5/23/2025,USDC,USDC,0.999869417,0.0051076,61183269303.0,2
32,5/23/2025,Dogecoin,DOGE,0.242111941,0.79406742,36167106924.0,2
33,5/23/2025,Cardano,ADA,0.804658919,0.55632365,28423901479.0,2
34,5/23/2025,TRON,TRX,0.270776635,-2.85556239,25691322734.0,2
35,5/23/2025,Sui,SUI,3.800580325,-5.21457316,12687579981.0,2
36,5/23/2025,Hyperliquid,HYPE,36.51026823,18.53760927,12191807423.0,2
37,5/23/2025,Chainlink,LINK,16.81155607,1.74361634,11046872998.0,2
38,5/23/2025,Avalanche,AVAX,25.25603035,0.58161048,10634509647.0,2
39,5/23/2025,Stellar,XLM,0.300227896,-0.30866407,9335633911.0,2
40,5/23/2025,Shiba Inu,SHIB,1.53e-05,0.57907112,9036587603.0,2
41,5/23/2025,Bitcoin Cash,BCH,437.3667816,0.95030158,8692030603.0,2
